frame.number	frame.time_epoch	frame.len	eth.src	eth.dst	ip.src	ip.dst	ipv6.src	ipv6.dst	tcp.srcport	tcp.dstport	udp.srcport	udp.dstport	_ws.col.Protocol
1	1725148800.100	1200	02:00:00:00:00:01	02:00:00:00:00:02	192.168.1.10	192.168.1.20			50000	443			TLS
2	1725148802.250	1420	02:00:00:00:00:01	02:00:00:00:00:02	192.168.1.10	192.168.1.20			50000	443			TLS
3	1725148805.500	850	02:00:00:00:00:11	02:00:00:00:00:02	192.168.1.10	192.168.1.20			50000	443			TLS
4	1725148806.000	512	02:00:00:00:00:01	02:00:00:00:00:02	192.168.1.10	192.168.1.20			50001	443			TLS
5	1725148808.750	1280	02:00:00:00:00:01	02:00:00:00:00:02	192.168.1.10	192.168.1.20			50001	443			TLS
6	1725148801.000	128	02:00:00:00:00:01	02:00:00:00:00:02	192.168.1.10	192.168.1.20			54321	22			SSH
7	1725148803.000	256	02:00:00:00:00:01	02:00:00:00:00:02	192.168.1.10	192.168.1.20			54321	22			SSH
8	1725148800.500	64	02:00:00:00:00:02	02:00:00:00:00:01	192.168.1.20	192.168.1.10			443	50000			TCP
9	1725148802.800	1500	02:00:00:00:00:02	02:00:00:00:00:01	192.168.1.20	192.168.1.10			443	50000			TCP
10	1725148804.100	512	02:00:00:00:00:01	02:00:00:00:00:03	192.168.1.10	10.0.0.5			49152	443			TCP
11	1725148807.300	1024	02:00:00:00:00:01	02:00:00:00:00:03	192.168.1.10	10.0.0.5			49152	443			TCP
12	1725148809.000	340	02:00:00:00:00:04	02:00:00:00:00:01	192.168.1.30	192.168.1.10			8080	80			HTTP
13	1725148810.200	1460	02:00:00:00:00:04	02:00:00:00:00:01	192.168.1.30	192.168.1.10			8080	80			HTTP
14	1725148811.000	800	02:00:00:00:00:01	02:00:00:00:00:04	192.168.1.10	192.168.1.30			50002	443			TLS
15	1725148812.500	1200	02:00:00:00:00:01	02:00:00:00:00:04	192.168.1.10	192.168.1.30			50002	443			TLS
16	1725148813.000	142	02:00:00:00:00:01	gateway.local	192.168.1.10	10.0.0.100					53535	53	DNS
17	1725148813.150	284	02:00:00:00:00:01	gateway.local	192.168.1.10	10.0.0.100					53535	53	DNS
18	1725148814.000	210	02:00:00:00:00:03	gateway.local	10.0.0.5	10.0.0.100					55000	5353	UDP
19	1725148815.000	210	02:00:00:00:00:03	gateway.local	10.0.0.5	10.0.0.100					55000	5353	UDP
20	1725148816.000	480	02:00:00:00:00:03	02:00:00:00:00:02	10.0.0.5	192.168.1.20			42000	8080			HTTP
21	1725148817.500	960	02:00:00:00:00:03	02:00:00:00:00:02	10.0.0.5	192.168.1.20			42000	8080			HTTP
22	1725148818.000	84	02:00:00:00:00:01	gateway.local	192.168.1.10	10.0.0.100							ICMP
23	1725148819.000	84	02:00:00:00:00:01	gateway.local	192.168.1.10	10.0.0.100							ICMP
24	1725148820.000	1024	02:00:00:00:00:01	02:00:00:00:00:02			2001:db8::10	2001:db8::20	51000	443			TLS
25	1725148821.500	1500	02:00:00:00:00:01	02:00:00:00:00:02			2001:db8::10	2001:db8::20	51000	443			TLS
26	1725148823.000	512	02:00:00:00:00:01	02:00:00:00:00:02			2001:db8::10	2001:db8::20	51000	443			TLS
27	1725148820.500	96	02:00:00:00:00:02	02:00:00:00:00:01			2001:0db8:0000:0000:0000:0000:0000:0020	2001:0db8:0000:0000:0000:0000:0000:0010	443	51000			TCP
28	1725148822.000	1400	02:00:00:00:00:02	02:00:00:00:00:01			2001:0db8:0000:0000:0000:0000:0000:0020	2001:0db8:0000:0000:0000:0000:0000:0010	443	51000			TCP
